security_code,security_name,worth_from,worth_to,rule,reason
600519,贵州茅台,2009,9999,锚3,毛利90%+传承品牌+茅台镇产区+基酒库存，资本无法复制
000858,五粮液,2009,9999,锚3,国家名酒+明代古窖池+基酒规模，毛利70%+
000568,泸州老窖,2009,9999,锚3,1573国宝窖池群为不可复制实物资产
600809,山西汾酒,2009,9999,锚3,清香鼻祖+杏花村产区+国家名酒
002304,洋河股份,2010,9999,锚3,上市首年资料不足故2010起；双沟+洋河双名酒+绵柔品类+渠道深耕
000596,古井贡酒,2013,9999,锚3,2013年起年份原浆放量、毛利升至70%+，明代古窖+国家名酒+徽酒深度分销
000651,格力电器,2009,9999,§5.4.1-4,空调双寡头，自建专卖店渠道+压缩机自制，资本复制测试长期实证通过
000895,双汇发展,2009,9999,§5.4.1-4,肉制品全国第一，冷链+经销网络+规模
002032,苏泊尔,2009,9999,锚12,炊具品类第一+SEB技术与出口通道
600600,青岛啤酒,2009,9999,§5.4.1-4,百年品牌+全国产能布局+渠道，啤酒区域规模效应
600887,伊利股份,2011,9999,锚1,2008三聚氰胺致巨亏，2011年ROE恢复且份额未失，穿越验证完成后入池
600690,海尔智家,2015,9999,§5.4.1-4,2015年前毛利23%回报未转化；此后日日顺渠道+卡萨帝高端化成型
600276,恒瑞医药,2009,9999,§5.4.1-4,毛利85%+，仿制药规模第一且研发投入行业最高
000538,云南白药,2009,9999,锚12,国家保密配方，法律意义上不可复制
000999,华润三九,2009,9999,锚12,999感冒灵在感冒OTC品类份额第一
300015,爱尔眼科,2014,9999,§5.4.1-4,2009上市时营收仅8.6亿模式未验证；2014年起分级连锁与医生培养体系跑通
600309,万华化学,2009,9999,§5.4.1-4,MDI全球五强之一，技术壁垒极高且成本最低
600660,福耀玻璃,2009,9999,§5.4.1-4,汽车玻璃国内份额超六成，浮法一体化成本优势
600066,宇通客车,2009,9999,§5.4.1-4,客车第一，非标定制+全国服务网络+品牌
002001,新和成,2009,9999,§5.4.1-4,维生素E/A全球四强寡头，发酵与合成技术壁垒
601088,中国神华,2009,9999,锚12,煤电路港航一体化，自有铁路港口为独占资产+低成本+规模三要素齐备
601899,紫金矿业,2009,9999,锚12,低成本金铜矿+储量规模+湿法冶炼技术
002128,电投能源,2009,9999,锚12,霍林河褐煤+坑口电厂+电解铝一体化，资源指标稀缺成本最低
600900,长江电力,2009,9999,判例1,长江干流梯级电站不可复制且ROE显著高于水电同业，资产注入通道明确
600036,招商银行,2009,9999,锚11,零售franchise已成型，一卡通金葵花体系带来同业最低负债成本
002142,宁波银行,2015,9999,锚11,2015年不良率0.92%显著低于行业1.67%，小微与零售模式经周期验证；此前ROE未显著高于同业
600031,三一重工,2009,2011,锚1,混凝土机械全球第一毛利显著高于同业；2012年起营收腰斩利润近乎归零，判例3试金石未过
000157,中联重科,2009,2011,锚1,工程机械第二毛利高于行业；2012年起深度下行至亏损
000338,潍柴动力,2009,2011,锚1,10L以上重卡柴油机份额超八成；2012年起重卡下行ROE降至个位数
