market_type,market_label,security_code,security_name,peer_groups,decision_sources,watch_selection_routes,watch_reasons,calibrated_standard_implications,decided_at_utc,source_decision_files
A_SHARE,A股,600029,南方航空,交通运输-航空机场-航空,analyst_company_by_company_review,boundary_judged_watch,Watch. 南方航空: 南方航空有大机队、广州枢纽和全国/国际网络，航权和时刻资源稀缺；但传统航空长期受油价、汇率、周期和资本开支压制，只做边界关注。 triage 68.52; moat 89.00; technology 46.78; market 84.00; quality 69.20; governance 68.40.,"Boundary retain major airlines when hub slots and national networks are scarce, while discounting poor cycle economics.",2026-05-15T11:03:50+00:00,data/processed/a_share_airlines_peer_group_decisions.csv
A_SHARE,A股,601111,中国国航,交通运输-航空机场-航空,analyst_company_by_company_review,boundary_judged_watch,Watch. 中国国航: 中国国航的国旗航司地位、北京枢纽和高价值商务航线具有稀缺性，但传统航空复利质量弱，不与高壁垒高利润行业同档处理。 triage 66.46; moat 88.00; technology 48.67; market 75.20; quality 60.00; governance 67.20.,"Boundary retain flag carriers when hub and route scarcity are visible, not because current airline profitability is attractive.",2026-05-15T11:03:50+00:00,data/processed/a_share_airlines_peer_group_decisions.csv
A_SHARE,A股,601156,东航物流,交通运输-航空机场-航空,analyst_company_by_company_review,direct_watch,Watch. 东航物流: 东航物流有航空货运、地面综合服务、供应链和冷链等综合物流能力，并依托上海航空枢纽资源，商业质量优于普通客运航司。 triage 66.39; moat 79.00; technology 42.56; market 78.80; quality 77.60; governance 70.80.,"Retain air-logistics platforms when hub access, cargo network, and integrated logistics capability are hard to replicate.",2026-05-15T11:03:50+00:00,data/processed/a_share_airlines_peer_group_decisions.csv
A_SHARE,A股,601021,春秋航空,交通运输-航空机场-航空,analyst_company_by_company_review,direct_watch,Watch. 春秋航空: 春秋航空的核心不是航线规模，而是低成本商业模式、单一机型、运营效率、成本文化和私营机制。航空业周期强，但春秋比传统航司更像有可验证差异化的航空平台。 triage 65.36; moat 79.00; technology 45.00; market 68.00; quality 78.40; governance 70.20.,"Retain low-cost airlines when cost structure, operating discipline, and route execution create a model advantage.",2026-05-15T11:03:50+00:00,data/processed/a_share_airlines_peer_group_decisions.csv
A_SHARE,A股,001391,国货航,交通运输-航空机场-航空,analyst_company_by_company_review,boundary_judged_watch,Watch. 国货航: 国货航依托国航和国泰历史资源，拥有专门航空货运网络和北京/上海等枢纽能力；但上市时间短且航空货运周期强，边界保留。 triage 65.02; moat 81.00; technology 37.22; market 74.80; quality 82.40; governance 72.00.,Boundary retain dedicated air-cargo carriers when network and aircraft assets are scarce but cycle evidence needs more history.,2026-05-15T11:03:50+00:00,data/processed/a_share_airlines_peer_group_decisions.csv
A_SHARE,A股,600115,中国东航,交通运输-航空机场-航空,analyst_company_by_company_review,boundary_judged_watch,Watch. 中国东航: 中国东航拥有上海枢纽和三大航地位，航线网络和时刻资源稀缺；但经营质量弱于春秋，且与国航、南航存在重复，只边界观察。 triage 64.47; moat 87.00; technology 39.44; market 73.60; quality 65.60; governance 67.80.,Boundary retain major hub airlines when route scarcity exists but economics are structurally weak.,2026-05-15T11:03:50+00:00,data/processed/a_share_airlines_peer_group_decisions.csv
A_SHARE,A股,002928,华夏航空,交通运输-航空机场-航空,analyst_company_by_company_review,boundary_judged_watch,Watch. 华夏航空: 华夏航空长期专注支线航空，是国内少有的独立支线商业模式公司，差异化清晰；但补贴、客流和区域航线经济性使其只能边界关注。 triage 61.70; moat 80.00; technology 37.00; market 57.60; quality 70.00; governance 69.00.,Boundary retain differentiated regional-airline models when network niche is real but subsidy and demand risks remain.,2026-05-15T11:03:50+00:00,data/processed/a_share_airlines_peer_group_decisions.csv
A_SHARE,A股,000099,中信海直,交通运输-航空机场-航空,analyst_company_by_company_review,boundary_judged_watch,Watch. 中信海直: 中信海直是国内少见的上市通用航空和海上直升机服务平台，海油服务、飞行资质和低空经济 optionality 有稀缺性；但市场规模较窄。 triage 61.16; moat 76.00; technology 38.33; market 53.60; quality 82.40; governance 71.40.,"Boundary retain general-aviation specialists when licenses, safety record, and offshore customer relationships are scarce.",2026-05-15T11:03:50+00:00,data/processed/a_share_airlines_peer_group_decisions.csv
A_SHARE,A股,000739,普洛药业,医药生物-化学制药-化学原料药,analyst_company_by_company_review,direct_watch,"Retained. 普洛药业: API-CDMO and formulation integration platform with long process-development capability, customer validation, and manufacturing quality systems. triage 74.46; moat 72.82; technology 84.09; market 86.05; quality 56.18; governance 67.68.","Retain API companies when process development, quality systems, regulatory filings, cost position, or scarce licenses create durable barriers beyond commodity chemical capacity.",2026-05-15T00:00:00+00:00,data/processed/a_share_api_peer_group_decisions.csv
A_SHARE,A股,603707,健友股份,医药生物-化学制药-化学原料药,analyst_company_by_company_review,direct_watch,Retained. 健友股份: Heparin/sterile injectable platform with international registration and manufacturing quality barriers. triage 73.82; moat 71.42; technology 81.18; market 81.28; quality 65.47; governance 68.95.,"Retain API companies when process development, quality systems, regulatory filings, cost position, or scarce licenses create durable barriers beyond commodity chemical capacity.",2026-05-15T00:00:00+00:00,data/processed/a_share_api_peer_group_decisions.csv
