pretrade_id,decided_at_utc,as_of,security_code,security_name,quality_tier,valuation_tier,strategy_tag,signal_ref,research_card_ref,thesis_summary,bear_case,base_case,bull_case,implied_expectation_gap,odds_ratio,odds_threshold_met,falsification_condition,target_position_pct,tranche_plan,add_conditions,trim_exit_conditions,catalyst_map,top_risk_playbook,exposure_check_single,exposure_check_chain,exposure_check_industry,hidden_beta_note,first_tranche_amount_cny,stop_loss_price,single_trade_risk_pct,risk_within_limit,same_day_check_note,decision_result,decision_log_id,element_checks_passed,research_items_pending,research_due_note,reclass_note_v124
PT-20260713-01,2026-07-13T08:47:03Z,2026-07-13,600519,贵州茅台,L1,低估,A-DCF/现金流复利型,无当日§8信号（wait_repair，左侧）,,超高端白酒垄断品牌，PE18.2x处5年0.8%分位，股息4.1%+FCF5.3%预期年化约14%,批价持续下行/政务需求收缩长期化,,,,,,,,,,,,,,,,,605994,,,,缺项：§8右侧信号(§10.1-6)、三情景与赔率卡(4/5)、催化剂地图(10)、割肉价与1.5%单笔风险校验(13，无止损价无法计算)、杠杆1.79x下左侧买入命中R1；用户已成交，事后如实留痕,off_system,,1✓ 5✗ 7✓ 11? 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 复核维持 off_system：7/13 `wait_repair`、`仅观察`——无当日右侧信号的纯左侧买入，第5项缺失确凿（与割肉价无关）。
PT-20260713-02,2026-07-13T08:47:03Z,2026-07-13,600036,招商银行,L1,低估,G-股东回报型低估,无当日§8信号（wait_breakout，左侧）,,零售银行franchise，PB0.84处5年4.6%分位，股息率5.6%为无风险利率3倍+,息差收窄超预期/地产尾部风险,,,,,,,,,,,,,,,,,538128,,,,缺项：同PT-01（信号/三情景/赔率/催化剂地图/割肉价/单笔风险校验），R1命中；事后留痕,off_system,,1✓ 5✗ 7✓ 11? 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 复核维持 off_system：7/13 `wait_breakout`、`仅观察`——无右侧信号的纯左侧买入。
PT-20260713-03,2026-07-13T08:47:03Z,2026-07-13,600285,羚锐制药,L2,中性,C-GARP成长型,当日A×强buy_candidate（8.7.1放量突破60/120日前高+8.7.2，收盘定型维持）,,贴膏品类垄断+基药目录30品种入选（4新增），GARP：PEG约1.1、ROE24%、股息4%,基药放量不及预期/贴膏集采/中药材成本反弹,,,,,,,,,,,,,,,,,626186,,,,信号项与催化剂项满足（当日官方目录催化已核实）；缺项：目标仓位超L2×中性5%上限2.5倍(§10.1-8)、未写三情景赔率卡、割肉价未设、单笔风险未校验；事后留痕,compliant,,1✓ 5✓ 7✓ 11✓ 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 **改判 compliant**：当日 A×强 buy_candidate（8.7.1 放量突破 60/120 日前高+8.7.2+8.7.0），第5项达标。原 off_system 的唯一依据是建仓时割肉价空缺——v1.25 起该项不作合规判据（登记时滞实测 0-1 个交易日）。割肉价缺失期间按 §14 割肉规则第 4 条：无 Tier-0 保护+扫描置顶提示+禁止加仓。
PT-20260713-04,2026-07-13T08:47:03Z,2026-07-13,000333,美的集团,L1,较低估,A-DCF/现金流复利型,无当日新信号（加仓）,,L1×较低估趋势完好仓位加仓1300股,地产链需求走弱,,,,,,,,,,,,,,,,,104520,,,,加仓致权重13.3%超现行10%上限（拟议15%带内）；§13加仓条件1/2满足（趋势成立）、条件3未验证；事后留痕,off_system,,1✓ 5✗ 7✓ 11? 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 复核维持 off_system：7/13 `wait_breakout`、`仅观察`——无当日新信号即加仓。
PT-20260713-05,2026-07-13T08:47:03Z,2026-07-13,688617,惠泰医疗,L2,中性,C-GARP成长型,无当日信号且weekly档MA150破位中加仓,,PFA放量+迈瑞渠道，Q1'26利润+21.9%,PFA推广不及预期/集采压价,,,,,,,,,,,,,,,,,308850,,,,缺项：§13加仓条件1/2不满足（MA150破位未修复）、权重13.3%超5%上限2.7倍、无信号；与既有weekly破位减半复核建议方向相反；事后留痕,off_system,,1✓ 5✗ 7✓ 11? 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 复核维持 off_system：无信号且 weekly 档破位中加仓（方向相反），第5项缺失最重的一笔。
PT-20260714-01,2026-07-14T08:10:00Z,2026-07-14,300476,胜宏科技,L2,中性,D-产业链爆发/关键瓶颈型,7/13池内wait_repair（MA20/MA60上方未修复）；7/14当日信号待收盘扫描定型,,英伟达链AI加速卡PCB/高阶HDI核心，FY2025+273%兑现极强、26/27E一致预期持续上修，D档中性（当前/bull case 2027约86-95%）,AI资本开支退潮/代际切换丢份额/英伟达生态客户集中,,,,,,,,,,,,,,,,,500664,268,1.64,no,缺项：仓位10.8%超L2×中性突破/事件仓5%上限逾2倍(§10.1-8/12)、单笔风险1.64%>1.5%(§10.1-13)、买点在MA20/MA60下方尚未修复右侧结构（wait_repair，§10.1-6待当日收盘复核）、未写三情景赔率卡与催化剂地图；割肉价268已给定为可取项；用户已成交，事后如实留痕,off_system,,1✓ 5✗ 7✓ 11? 12✗ 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 复核维持 off_system：第5项 `wait_repair` 无信号 + **第12项单笔风险 1.64%N 超 1.5%N 上限**（该笔已设割肉价 268，故与割肉价登记无关）。
PT-20260722-01,2026-07-22T07:21:09+00:00,2026-07-22,600406,国电南瑞,L1,较低估(现档),A-DCF/现金流复利型,成交后补记（§10.4）；当日信号见daily_buy_candidates 2026-07-22,,用户7/21-22自主买入，未走§10闸门，成交后如实补记,,,,,,,,,,,,,,,,,,261030,,,unknown_no_stop,缺项：研究卡片/三情景/证伪条件/催化剂地图/暴露核对/割肉价/单笔风险校验/14:40时间窗未核,off_system,pretrade_decision:2026-07-22:600406:01,1✓ 5✗ 7✓ 11? 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,"v1.25 复核**维持 off_system，但理由更换**：割肉价空缺已不再是判据；改按 v1.24 第5项口径——7/22 快照为 **弱级、action_bias=等确认**（有效段 3/需2 形式达标，但分级与偏向共同否决），属体系明示""尚未到可买点""时入场。与高德红外 2026-07-29 同因。"
PT-20260722-02,2026-07-22T07:21:09+00:00,2026-07-22,600036,招商银行,L1,低估(现档),G-股东回报型低估,成交后补记（§10.4）；当日信号见daily_buy_candidates 2026-07-22,,用户7/21-22自主买入，未走§10闸门，成交后如实补记,,,,,,,,,,,,,,,,,,254198,,,unknown_no_stop,缺项：研究卡片/三情景/证伪条件/催化剂地图/暴露核对/割肉价/单笔风险校验/14:40时间窗未核,compliant,pretrade_decision:2026-07-22:600036:01,1✓ 5✓ 7✓ 11✓ 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,"v1.25 **改判 compliant**：7/22 快照（git 复原）为 **强级、有效段 4/需1 达标、现档低估、action_bias=可建目标仓位1/3**——要素项 1/5 确凿达标，非""等确认""下入场。原 off_system 唯一依据是建仓时割肉价空缺（当日盘后补设 36.68），v1.25 起不作判据。"
PT-20260722-03,2026-07-22T07:21:09+00:00,2026-07-22,603195,公牛集团,L1,较低估(现档),A-DCF/现金流复利型,成交后补记（§10.4）；当日信号见daily_buy_candidates 2026-07-22,,用户7/21-22自主买入，未走§10闸门，成交后如实补记,,,,,,,,,,,,,,,,,,275346,,,unknown_no_stop,缺项：研究卡片/三情景/证伪条件/催化剂地图/暴露核对/割肉价/单笔风险校验/14:40时间窗未核,off_system,pretrade_decision:2026-07-22:603195:01,1✓ 5✗ 7✓ 11? 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 复核**维持 off_system，理由更换**：7/22 快照为 **弱级、action_bias=等确认**（有效段 3/需2），非割肉价问题。与高德红外 2026-07-29 同因。
PT-20260722-04,2026-07-22T07:21:09+00:00,2026-07-22,688002,睿创微纳,L2,较高估(现档，复核前),D-产业链爆发/关键瓶颈型,成交后补记（§10.4）；当日信号见daily_buy_candidates 2026-07-22,,用户7/21-22自主买入，未走§10闸门，成交后如实补记,,,,,,,,,,,,,,,,,,260765,,,unknown_no_stop,缺项：研究卡片/三情景/证伪条件/催化剂地图/暴露核对/割肉价/单笔风险校验/14:40时间窗未核；成交时处§7.5复核冻结+L2×较高估watch_only不可买（双重违规）,off_system,pretrade_decision:2026-07-22:688002:01,1✗ 5✗ 7✓ 11? 12? 13✓ 14✓,"2,3,4,6,8,9,10,15",研究档案项为 v1.24 限期义务：补齐前该仓 pending_adjustment、禁止加仓，每日扫描列待办,v1.25 复核维持 off_system，仍为 7/22 批最重：①第1项——当日现档 L2×较高估未过 §6.2.1 矩阵，且 `signal_state=buy_blocked_review_pending`（处 §7.5 复核冻结）；②第5项——有效段 **2/需3 `stage_met=False`**、action_bias=等入场阶段。两项要素同时缺失，与割肉价无关。
