security_code,security_name,exchange,watch_level,strategy_tag,watch_reason,latest_volume_price_status,action_bias,buy_trigger,add_trigger,reduce_or_exit_trigger,invalidation,last_review_date,data_source
603259,药明康德,SSE,active_buy_candidate,C-GARP成长型,"估值较低估，CRDMO平台仍具备全球客户、项目经验和现金流优势；近期月线、20日和60日趋势均确认，量能温和。","2026-06-23：近20日+5.29%，近60日+15.43%，站上20/60日均线，月线确认，量能未末端爆量。","第一优先买入持有候选；适合目标仓位的1/3试探。","回踩20日或60日均线不破，或放量突破近期高点后不回落。","财报/订单继续验证，右侧结构保持，且估值未明显透支。","跌回60日线下方且3-5日不能收回；或放量冲高后连续缩量阴跌。","海外监管、订单取消、融资/客户需求恶化导致CRDMO thesis 被证伪。",2026-06-24,"Tencent qfq daily/monthly kline; data/processed/a_share_focus_watchlist_l1_l2_valuation.csv"
688002,睿创微纳,SSE,active_trend_candidate,D-产业链爆发/关键瓶颈型,"红外探测器和多维感知平台，2026Q1收入/利润高增，当前估值仍被列为较低估；量价强度最高。","2026-06-23：近20日+5.09%，近60日+44.49%，月线确认，但已经处于趋势中段偏强。","重点跟踪；不适合追高一把买满，优先等回踩或突破确认。","回踩20日线/前平台缩量不破；或高位横盘后再次放量突破。","突破后继续放量上涨且利润预期继续上修。","近20日涨幅继续快速扩大但量能极端放大；跌破20日线后无法收回。","红外军民品订单或毛利率不及预期，平台增长被证伪。",2026-06-24,"Tencent qfq daily/monthly kline; data/processed/star_bse_small_cap_trend_screen.csv"
688187,时代电气,SSE,active_trend_candidate,C-GARP成长型,"轨交牵引、电力电子、IGBT/功率半导体和新能源装备平台；估值较低估，右侧趋势稳健。","2026-06-23：近20日+3.67%，近60日+19.43%，站上20/60日均线，月线确认，涨幅温和。","稳健右侧候选；弹性可能弱于药明康德和睿创微纳。","缩量回踩20日/60日线不破；或月线继续温和上行。","轨交基本盘稳定、功率半导体收入/利润加速。","跌破60日线且月线转弱；或成交量放大但价格不能创新高。","电力电子/功率半导体成长兑现失败，轨交主业增速明显下台阶。",2026-06-24,"Tencent qfq daily/monthly kline; data/processed/star_bse_small_cap_trend_screen.csv"
300014,亿纬锂能,SZSE,tactical_watch,C-GARP成长型,"电池平台具备消费电池、动力电池和储能电池综合能力；已有研报预期PEG较低，但当前量价仍偏右侧早期。","2026-06-23：近20日+6.44%，近60日-3.70%，放量反弹但月线尚未确认。","小仓试错或观察，不是当前最优买入持有标的。","站上并守住60日线，月线重新转强，放量后回踩不破。","中报预告和后续订单/利润率验证PEG假设，价格继续温和上行。","反弹后跌回启动平台，或量能放大但价格不再上行。","利润改善主要来自一次性因素或配合融资/上市预期，真实经营质量不支持增长。",2026-06-24,"Tencent qfq daily/monthly kline; data/processed/a_share_focus_watchlist_l1_l2_valuation.csv"
688578,艾力斯,SSE,signal_pending,C-GARP成长型,"肿瘤靶向治疗商业化公司，2026Q1收入/利润高增，估值较低估，毛利率和现金流质量强。","2026-06-23：近20日-2.33%，近60日-3.56%，月线未确认；6月24日出现明显反弹但需确认持续性。","等待3-5个交易日确认，不因单日反弹直接买。","连续3-5日站回20日/60日线并放量不塌；或回踩不破后再上。","研报预期继续上修，核心产品放量和管线进展持续验证。","反弹后缩量回落，跌回前低或60日线下方。","核心产品增长放缓、管线失败或医保/竞争导致利润率下行。",2026-06-24,"Tencent qfq daily/monthly kline; data/processed/star_bse_small_cap_trend_screen.csv"
688213,思特威,SSE,wait_for_repair,D-产业链爆发/关键瓶颈型,"CIS/image sensor平台，2026Q1收入/利润高增，估值较低估；但经营现金流偏弱，近期趋势被破坏。","2026-06-23：近20日-16.06%，近60日+23.92%，月线未确认，接近60日高点回撤约17.5%。","暂不买，只跟踪是否完成趋势修复。","重新站回20日线并放量，随后回踩不破；最好伴随订单/毛利率验证。","CIS需求和毛利率继续改善，现金流转正或明显改善。","继续跌破60日线或反弹无量。","高增长无法转化为现金流，竞争加剧导致毛利率下行。",2026-06-24,"Tencent qfq daily/monthly kline; data/processed/star_bse_small_cap_trend_screen.csv"
688016,心脉医疗,SSE,inactive_watch,C-GARP成长型,"高值介入器械公司，估值较低估，利润率和现金流好；但近期量价不支持买入。","2026-06-23：近20日-11.75%，近60日-15.20%，跌破20/60日均线，月线未确认。","仅保留低频跟踪，暂不进入准买入池。","至少重新站回60日线，形成更高低点，并有放量突破。","收入/利润增速恢复，集采或竞争压力缓和。","继续创新低或反弹无量。","核心产品增长下台阶，集采影响超预期。",2026-06-24,"Tencent qfq daily/monthly kline; data/processed/star_bse_small_cap_trend_screen.csv"
688278,特宝生物,SSE,inactive_watch,C-GARP成长型,"长效干扰素和生物药细分公司，估值较低估、毛利率高；但近期量价明显弱。","2026-06-23：近20日-2.61%，近60日-16.41%，月线未确认，近60日高点回撤约19.2%。","仅保留低频跟踪，暂不买。","重新站回20/60日线，月线止跌，且收入/利润预期恢复上修。","核心产品放量和新品适应症兑现。","跌破平台并继续弱于医药板块。","核心产品增长放缓或新品兑现低于预期。",2026-06-24,"Tencent qfq daily/monthly kline; data/processed/star_bse_small_cap_trend_screen.csv"
000100,TCL科技,SZSE,wait_breakout,D-产业链瓶颈/显示面板周期修复,"全球显示面板双龙头之一，面板行业供给格局较集中，2026Q1利润弹性强；低PEG主要来自周期修复预期，近期回购公告和月线确认支持战术跟踪，但周期性和高资本开支决定不升核心。","2026-06-24：最新价约4.85元，近20日+11.49%，近60日+13.58%，站上20/60日均线，月线确认，近5日量能约为20日均量1.10倍，距近60日高点约-7.44%。","加入重点量价跟踪；等待放量突破或缩量回踩不破，最多按战术周期修复仓处理，不按GARP成长股重仓。","放量突破近60日高点区域，或缩量回踩20日/60日线不破后重新放量上行。","面板价格、稼动率、利润率继续修复，回购持续执行，且股价站稳突破平台。","跌破60日线后3-5个交易日不能收回；或放量冲高但不能突破近60日高点。","面板价格/盈利修复预期被证伪，或低PEG被证明只是周期顶部利润外推。",2026-06-24,"Tencent quote and qfq daily/monthly kline; CNINFO announcement query; data/interim/a_share_financial_indicators.csv"
601899,紫金矿业,SSE,inactive_watch,F-垄断资源型,"全球铜金矿业龙头，资源储量、项目开发和全球矿山运营能力具备长期跟踪价值；但量价纪律要求只买多头，当前趋势不满足买入条件。","2026-06-24：最新价约27.65元，近20日-15.96%，近60日-16.82%，跌破20/60日均线，月线未确认，距近60日高点约-23.19%。","资源龙头继续关注，但当前非多头，只观察不买。","重新站回20日/60日线，月线重新站上6月、10月、12月均线，且最好伴随放量突破。","铜金价格中枢继续上移，核心矿山放量和成本优势被财报验证，且价格结构保持多头。","商品价格高位反转、矿山放量不及预期，或股价反弹无量并继续弱于资源板块。","铜金价格中枢回落、海外项目扰动或资本开支超预算破坏资源龙头 thesis。",2026-06-24,"Tencent quote and qfq daily/monthly kline; data/processed/a_share_focus_watchlist_l1_l2_valuation.csv"
