security_code,security_name,effective_tier,as_of
000063,中兴通讯,较高估,2026-08-26
000333,美的集团,中性,2026-08-26
000338,潍柴动力,中性,2026-08-26
000408,藏格矿业,高估,2026-08-26
000423,东阿阿胶,中性,2026-08-26
000425,徐工机械,中性,2026-08-26
000426,兴业银锡,高估,2026-08-26
000538,云南白药,较高估,2026-08-26
000568,泸州老窖,较低估,2026-08-26
000596,古井贡酒,中性,2026-08-26
000651,格力电器,低估,2026-08-26
000725,京东方A,无法估值,2026-08-26
000786,北新建材,低估,2026-08-26
000792,盐湖股份,中性,2026-08-26
000858,五粮液,较低估,2026-08-26
000893,亚钾国际,高估,2026-08-26
000895,双汇发展,高估,2026-08-26
000933,神火股份,较低估,2026-08-26
000951,中国重汽,低估,2026-08-26
000975,山金国际,高估,2026-08-26
000999,华润三九,中性,2026-08-26
002001,新和成,较低估,2026-08-26
002003,伟星股份,高估,2026-08-26
002027,分众传媒,高估,2026-08-26
002032,苏泊尔,高估,2026-08-26
002050,三花智控,高估,2026-08-26
002128,电投能源,低估,2026-08-26
002130,沃尔核材,较高估,2026-08-26
002138,顺络电子,高估,2026-08-26
002142,宁波银行,中性,2026-08-26
002158,汉钟精机,高估,2026-08-26
002179,中航光电,高估,2026-08-26
002222,福晶科技,高估,2026-08-26
002223,鱼跃医疗,高估,2026-08-26
002262,恩华药业,高估,2026-08-26
002270,华明装备,高估,2026-08-26
002273,水晶光电,高估,2026-08-26
002287,奇正藏药,较高估,2026-08-26
002311,海大集团,高估,2026-08-26
002352,顺丰控股,中性,2026-08-26
002371,北方华创,高估,2026-08-26
002372,伟星新材,高估,2026-08-26
002379,宏桥控股,低估,2026-08-26
002409,雅克科技,高估,2026-08-26
002415,海康威视,高估,2026-08-26
002463,沪电股份,高估,2026-08-26
002466,天齐锂业,低估,2026-08-26
002475,立讯精密,较高估,2026-08-26
002484,江海股份,高估,2026-08-26
002532,天山铝业,较低估,2026-08-26
002568,百润股份,高估,2026-08-26
002594,比亚迪,较高估,2026-08-26
002595,豪迈科技,高估,2026-08-26
002648,卫星化学,较低估,2026-08-26
002683,广东宏大,高估,2026-08-26
002690,美亚光电,高估,2026-08-26
002714,牧原股份,中性,2026-08-26
002837,英维克,高估,2026-08-26
002906,华阳集团,较高估,2026-08-26
002916,深南电路,高估,2026-08-26
002920,德赛西威,高估,2026-08-26
